Date,Open,High,Low,Close,Adj Close,Volume
1997-10-06,5.646040,7.040944,5.646040,6.615830,3.515376,20871127
1997-10-13,6.629115,6.629115,5.327205,5.340490,2.837713,13819365
1997-10-20,4.463693,5.340490,4.091718,4.197997,2.230640,44876005
1997-10-27,4.091718,4.463693,3.321200,4.197997,2.230640,29279703
1997-11-03,4.569971,5.420198,4.569971,5.061509,2.689475,21451208
1997-11-10,5.260781,5.287350,4.596541,4.662965,2.477705,13223289
1997-11-17,4.981800,4.995085,4.423838,4.662965,2.477705,13775612
1997-11-24,4.437123,4.742674,4.437123,4.676250,2.484764,5558985
1997-12-01,4.463693,4.742674,4.397269,4.689534,2.491822,11870239
1997-12-08,4.862237,4.995085,4.211282,4.237851,2.251817,10301717
1997-12-15,4.211282,4.211282,3.666605,3.945586,2.096520,16289293
1997-12-22,3.919016,3.985440,3.759598,3.826022,2.032988,3115403
1997-12-29,3.879162,3.985440,3.826022,3.919016,2.082401,3902957
1998-01-05,3.919016,3.945586,3.082074,3.095358,1.644744,14507651
1998-01-12,3.028934,3.786168,2.842947,3.706459,1.969458,12549587
1998-01-19,3.799453,4.224566,3.799453,4.197997,2.230640,9135911
1998-01-26,4.490262,5.074794,4.397269,5.048224,2.682415,16817622
1998-02-02,5.127933,5.566331,5.114648,5.260781,2.795359,12668143
1998-02-09,5.260781,5.632755,5.061509,5.499907,2.922421,11804375
1998-02-16,5.712464,5.951590,5.672610,5.765603,3.063600,6563423
1998-02-23,5.739034,6.456413,5.606186,6.097723,3.240075,9777150
1998-03-02,6.097723,6.111008,5.114648,5.606186,2.978892,10816403
1998-03-09,5.367059,5.845312,5.313920,5.712464,3.035364,4498562
1998-03-16,5.792173,5.792173,5.327205,5.460053,2.901244,8913381
1998-03-23,5.300635,5.792173,5.287350,5.685894,3.021247,5711414
1998-03-30,5.659325,5.672610,5.327205,5.393629,2.865949,7146325
1998-04-06,5.406914,5.446768,5.154502,5.220926,2.774182,3498359
1998-04-13,5.114648,5.154502,4.809098,4.835667,2.569472,6126361
1998-04-20,4.822382,5.287350,4.729389,5.274066,2.802419,7916002
1998-04-27,5.141218,5.260781,4.995085,5.154502,2.738887,4896102
1998-05-04,5.127933,5.274066,5.074794,5.114648,2.717710,3263598
1998-05-11,5.154502,5.247496,5.021654,5.034939,2.675356,6631168
1998-05-18,4.928661,4.928661,4.782528,4.822382,2.562412,5758931
1998-05-25,4.304275,4.410554,4.012010,4.012010,2.131814,9914056
1998-06-01,3.733029,3.879162,3.613466,3.865877,2.054165,8086309
1998-06-08,3.852592,3.852592,3.374339,3.480618,1.849455,6960021
1998-06-15,3.347770,4.038579,3.347770,3.998725,2.124756,6073201
1998-06-22,3.786168,3.985440,3.719744,3.919016,2.082401,5450308
1998-06-29,3.693174,3.706459,3.573611,3.626750,1.927104,5305405
1998-07-06,3.573611,3.932301,3.520472,3.733029,1.983576,7036237
1998-07-13,3.666605,4.197997,3.533757,4.131573,2.195346,15389769
1998-07-20,4.131573,4.184712,3.879162,3.998725,2.124756,5572158
1998-07-27,3.998725,4.025294,3.892446,3.905731,2.075342,4755906
1998-08-03,3.879162,4.038579,3.640035,3.972155,2.110637,6180466
1998-08-10,3.958870,3.972155,3.613466,3.972155,2.110637,6481092
1998-08-17,3.892446,4.012010,3.693174,3.693174,1.962398,5359038
1998-08-24,3.573611,3.719744,3.216914,3.428807,1.821925,4916819
1998-08-31,3.409544,3.467333,3.082074,3.120600,1.658157,6774011
1998-09-07,3.448070,3.659962,3.293966,3.563648,1.893574,5845415
1998-09-14,3.563648,3.737014,3.544385,3.698488,1.965222,5928801
1998-09-21,3.563648,3.910381,3.544385,3.871855,2.057342,3790305
1998-09-28,3.852592,4.025959,3.082074,3.178388,1.688863,14095056
1998-10-05,3.178388,3.717751,3.082074,3.717751,1.975457,6351568
1998-10-12,3.814066,3.968170,3.582911,3.929644,2.088049,5718553
1998-10-19,3.852592,3.948907,3.505859,3.505859,1.862867,5546590
1998-10-26,3.544385,4.603847,3.544385,4.603847,2.446292,12134688
1998-11-02,4.584584,4.777214,4.257114,4.334166,2.302995,11188247
1998-11-09,4.314903,4.623110,4.045222,4.526796,2.405350,11196683
1998-11-16,4.603847,5.586258,4.584584,5.066158,2.691945,23049093
1998-11-23,5.104684,5.104684,4.546059,4.796477,2.548647,13172950
1998-11-30,4.700162,5.239525,4.507533,5.239525,2.784064,17477195
1998-12-07,5.220262,5.239525,4.199325,4.295640,2.282523,9638317
1998-12-14,4.237851,4.854266,4.122273,4.835003,2.569118,14691733
1998-12-21,4.777214,4.835003,4.642373,4.661636,2.476998,2930820
1998-12-28,4.661636,4.661636,4.353429,4.372692,2.323466,2706619
1999-01-04,4.469007,5.952255,4.180062,5.605521,2.978539,31512875
1999-01-11,5.566995,6.953929,5.162473,6.934666,3.684791,39647983
1999-01-18,6.472355,7.050243,6.087095,6.144884,3.265135,20273364
1999-01-25,5.894466,6.491618,5.855940,6.164147,3.275370,13273531
1999-02-01,5.971518,6.491618,5.701836,5.913729,3.142308,18506371
1999-02-08,6.164147,6.260462,5.470681,5.855940,3.111602,13436408
1999-02-15,5.855940,5.971518,5.759625,5.894466,3.132072,5152700
1999-02-22,6.087095,6.703510,5.932992,6.010044,3.193486,18571263
1999-03-01,5.971518,6.125621,5.682573,6.087095,3.234427,10303129
1999-03-08,6.087095,6.819088,6.067832,6.780562,3.602907,10605522
1999-03-15,7.242873,8.244547,7.088769,8.051917,4.278452,16758198
1999-03-22,7.955602,7.974865,7.185084,7.204347,3.828089,8152305
1999-03-29,7.165821,7.743710,7.030980,7.724447,4.104448,6310685
1999-04-05,7.724447,8.321599,7.685921,8.321599,4.421751,7776582
1999-04-12,7.974865,8.360125,7.551080,7.878551,4.186333,22739560
1999-04-19,8.013391,8.552754,7.416240,8.533491,4.534341,19972917
1999-04-26,8.706858,8.726121,7.262136,7.396977,3.930445,16563199
1999-05-03,7.377714,7.936340,7.146558,7.146558,3.797382,20156235
1999-05-10,7.146558,7.377714,6.549406,7.281399,3.869032,24603565
1999-05-17,7.204347,7.551080,7.050243,7.416240,3.940680,12897810
1999-05-24,7.416240,8.148232,7.358451,8.071180,4.288687,11070467
1999-05-31,8.071180,8.976539,7.994128,8.918750,4.739051,8888496
1999-06-07,9.284747,10.382735,9.207695,9.631480,5.117766,11129521
1999-06-14,9.592954,10.748732,9.592954,10.633154,5.650013,7198076
1999-06-21,10.633154,10.710206,10.055265,10.093791,5.363418,6692897
1999-06-28,10.093791,10.690943,10.093791,10.556102,5.609071,5808427
1999-07-05,10.613891,10.613891,9.708532,9.939687,5.281534,7650694
1999-07-12,9.862636,10.247895,9.265484,9.785584,5.199652,23310929
1999-07-19,9.939687,10.036002,9.246221,9.304010,4.943763,12708002
1999-07-26,9.284747,9.881898,9.188432,9.573691,5.087060,10621745
1999-08-02,9.323273,9.419587,8.437176,8.822436,4.687875,9906966
1999-08-09,9.072854,11.538513,9.015065,10.825784,5.752370,13126551
1999-08-16,11.467625,11.515012,10.638355,10.851596,5.766085,11189278
1999-08-23,10.898983,11.254384,10.756822,10.898983,5.791264,17070388
1999-08-30,10.946370,11.823027,10.780516,11.823027,6.282263,9814163
1999-09-06,11.728253,12.770765,11.704560,12.770765,6.785851,9335917
1999-09-13,12.747071,12.770765,11.657173,12.202122,6.483698,10032576
1999-09-20,12.154735,12.604911,10.733129,10.993757,5.841622,16020519
1999-09-27,11.230691,11.988881,11.017450,11.586093,6.156365,16787347
1999-10-04,11.538706,12.344283,11.420238,11.467625,6.093417,14806577
1999-10-11,11.751947,12.320589,11.657173,11.751947,6.244493,9883801
1999-10-18,11.751947,12.107348,11.396545,11.941494,6.345212,9583612
1999-10-25,12.202122,13.220940,12.154735,13.126166,6.974696,8656403
1999-11-01,13.031392,13.694809,12.699684,13.457874,7.150953,10607630
1999-11-08,13.363101,14.879481,13.339407,13.836969,7.352386,13525631
1999-11-15,14.026517,14.405612,13.884356,14.073904,7.478284,8909376
1999-11-22,14.073904,14.192371,13.600035,13.789583,7.327209,6243553
1999-11-29,13.860663,15.542897,13.576342,15.424430,8.195897,10033367
1999-12-06,14.832094,15.187496,14.239758,14.595160,7.755258,8063149
1999-12-13,14.595160,14.737320,13.860663,14.429305,7.667130,10284755
1999-12-20,14.476692,15.519204,14.476692,15.519204,8.246256,4245637
1999-12-27,16.395861,17.343599,16.158928,17.059277,9.064587,3512047
2000-01-03,17.912241,18.670431,17.059277,18.101789,9.618535,9966102
2000-01-10,18.694124,20.992390,18.433496,20.921309,11.116708,11281867
2000-01-17,20.044651,21.229322,19.949877,20.708067,11.003401,9148630
2000-01-24,21.371485,27.294844,20.494825,20.589600,10.940454,23024568
2000-01-31,20.186811,26.726200,19.286461,25.375675,13.483574,19331036
2000-02-07,25.375675,25.375675,22.034901,23.314346,12.388270,10690987
2000-02-14,22.935251,24.262083,22.413996,22.650928,12.035755,8249910
2000-02-21,21.703192,22.366608,20.636988,22.105980,11.746194,22181508
2000-02-28,22.200754,24.641178,21.726885,24.641178,13.093290,16874660
2000-03-06,23.906681,23.977762,20.660681,21.087162,11.204834,13217002
2000-03-13,19.997265,23.030024,19.144300,22.556156,11.985398,17029238
2000-03-20,20.376360,22.342915,19.049526,21.561031,11.456632,33088272
2000-03-27,22.650928,23.172186,20.850227,21.608418,11.481812,9696248
2000-04-03,21.987513,22.034901,19.096912,20.826534,11.066349,23176509
2000-04-10,21.324097,21.371485,14.855787,15.092722,8.019643,33265799
2000-04-17,15.163802,18.670431,15.163802,17.651613,9.379330,17193577
2000-04-24,17.438372,19.997265,16.680182,19.831409,10.537582,14700535
2000-05-01,19.973572,20.186811,17.106665,18.196564,9.668892,11619249
2000-05-08,18.149176,18.196564,16.324781,16.632795,8.837972,11943179
2000-05-15,17.044113,19.712942,16.589199,18.105579,9.620549,12208556
2000-05-22,18.439182,18.439182,15.163802,15.831009,8.411936,14446822
2000-05-29,17.165424,18.681805,16.983458,18.135906,9.636662,20954713
2000-06-05,18.166235,19.925236,17.468700,19.773598,10.506863,22686222
2000-06-12,19.894909,19.894909,17.468700,17.499027,9.298252,13620842
2000-06-19,17.529354,19.136719,17.499027,17.862959,9.491629,15709079
2000-06-26,17.862959,19.349012,17.711321,18.712132,9.942845,12855245
2000-07-03,18.924425,18.985081,17.620338,17.802303,9.459403,8785107
2000-07-10,17.256407,17.771976,16.922804,17.590010,9.346595,13199196
2000-07-17,17.771976,17.802303,15.467078,15.497406,8.234675,14819008
2000-07-24,15.285113,15.345768,13.374473,13.708077,7.283900,22469629
2000-07-31,14.375284,14.860526,13.586767,14.526922,7.719000,15003040
2000-08-07,14.526922,15.163802,14.072008,15.163802,8.057410,13749850
2000-08-14,15.072819,17.711321,14.921181,17.711321,9.411057,17297566
2000-08-21,17.468700,18.196564,16.771166,17.347389,9.217677,13978189
2000-08-28,17.377716,17.893288,15.740027,15.800682,8.395822,13353140
2000-09-04,15.800682,16.225267,14.375284,14.375284,7.638426,13459480
2000-09-11,14.557250,14.769543,13.131853,13.253163,7.042177,14879596
2000-09-18,13.313818,13.404801,10.917938,12.434318,6.607079,29278401
2000-09-25,12.585956,12.798249,9.886799,9.917127,5.269546,30866681
2000-10-02,10.068765,11.858093,9.371230,11.039248,5.865794,46322485
2000-10-09,10.917938,10.948265,9.158936,10.190075,5.414581,23938381
2000-10-16,9.886799,11.281869,7.824522,11.069576,5.881911,42709028
2000-10-23,11.099903,11.554817,10.463023,10.523679,5.591844,20328634
2000-10-30,10.129420,11.888421,9.795816,11.615472,6.171977,16065604
2000-11-06,11.827766,12.494973,10.190075,10.341713,5.495154,25326556
2000-11-13,9.947454,11.433507,9.644178,9.856471,5.237316,16324442
2000-11-20,9.219592,9.947454,8.734350,9.856471,5.237316,11649246
2000-11-27,9.856471,9.977782,8.127798,8.582712,4.560494,19901218
2000-12-04,8.491729,9.674506,8.309764,9.613851,5.108398,15771522
2000-12-11,9.613851,9.765489,8.764678,9.037626,4.802216,14518743
2000-12-18,8.976971,9.007298,8.036815,8.309764,4.415462,17286644
2000-12-25,8.249108,8.795005,8.067143,8.370419,4.447690,11484174
2001-01-01,8.795005,10.008109,8.188453,9.765489,5.188973,20034141
2001-01-08,9.704833,10.978593,9.462213,10.857282,5.769106,20224150
2001-01-15,10.948265,12.919559,10.493351,12.161369,6.462045,19695547
2001-01-22,12.009731,12.343335,10.675317,10.826955,5.752991,15148740
2001-01-29,10.830594,12.111632,10.277419,11.223640,5.963775,23073039
2001-02-05,10.675317,10.782070,9.646604,9.962011,5.293396,21158118
2001-02-12,9.947454,11.466261,9.947454,10.811184,5.744611,17418537
2001-02-19,10.811184,10.883971,9.437950,9.777620,5.195420,12063886
2001-02-26,9.947454,9.947454,8.321895,9.025495,4.795771,13951192
2001-03-05,9.224444,10.476368,9.006085,9.006085,4.785457,19066582
2001-03-12,8.976971,9.947454,8.744055,9.602933,5.102598,17529204
